Date,Open,High,Low,Close,Volume
2017-01-03,117.97,118.22,116.12,116.9,2364426
2017-01-04,117.37,117.41,116.45,116.85,1564777
2017-01-05,116.24,116.39,115.0,115.67,1756549
2017-01-06,115.72,116.4,115.14,116.2,1907453
2017-01-09,116.47,117.23,115.97,116.55,1143756
2017-01-10,116.79,116.97,115.69,115.85,928285
2017-01-11,115.78,117.0,115.1,116.92,995075
2017-01-12,117.0,117.55,116.53,117.25,1102686
2017-01-13,117.23,117.64,116.73,117.08,1088306
2017-01-17,116.62,117.22,116.36,116.92,1424275
2017-01-18,116.71,117.12,116.47,116.6,1386448
2017-01-19,116.51,116.9,115.82,116.1,1965371
2017-01-20,116.18,117.39,115.88,117.39,1295524
2017-01-23,117.21,117.59,116.49,116.68,1750368
2017-01-24,117.2,118.22,117.0,117.69,3539783
2017-01-25,117.89,120.19,117.28,119.57,3917578
2017-01-26,116.54,119.76,115.71,119.5,1980738
2017-01-27,120.45,121.0,119.5,120.2,1739229
2017-01-30,119.36,119.53,117.86,119.3,1649783
2017-01-31,118.76,118.88,118.06,118.44,1356776
2017-02-01,117.32,118.46,117.14,117.95,1324372
2017-02-02,116.88,117.34,116.54,116.62,1705754
2017-02-03,116.91,117.76,116.81,117.47,1121219
2017-02-06,117.06,117.11,116.07,116.44,1447991
2017-02-07,115.86,116.74,115.54,116.3,1582777
2017-02-08,115.96,116.62,115.53,116.3,891584
2017-02-09,116.42,116.74,115.6,115.76,1030351
2017-02-10,116.2,116.58,115.76,116.23,1247524
2017-02-13,116.97,117.95,116.6,117.44,1059492
2017-02-14,116.79,117.59,115.88,117.32,767710
2017-02-15,116.92,117.74,116.71,117.59,884686
2017-02-16,117.7,118.23,117.12,117.5,1810668
2017-02-17,117.66,117.91,117.27,117.42,906056
2017-02-21,117.3,118.95,117.04,118.31,1600573
2017-02-22,117.82,118.54,117.55,117.79,862477
2017-02-23,118.01,118.47,117.66,118.06,853794
2017-02-24,117.11,118.24,116.83,118.11,833429
2017-02-27,118.0,119.71,117.8,118.52,1736979
2017-02-28,118.07,119.12,117.35,118.71,1616109
2017-03-01,119.78,120.62,119.32,120.36,1283120
2017-03-02,120.33,120.62,118.68,118.78,1064603
2017-03-03,118.03,118.06,117.37,117.6,1076529
2017-03-06,117.17,118.32,117.14,117.73,1203984
2017-03-07,117.63,119.04,117.28,118.79,1676460
2017-03-08,118.2,119.61,118.16,118.57,2717103
2017-03-09,118.15,118.7,116.61,116.99,1728764
2017-03-10,117.53,117.68,116.88,116.95,1407285
2017-03-13,117.34,117.34,115.99,116.72,1580833
2017-03-14,116.42,117.19,116.22,116.65,1455765
2017-03-15,117.3,118.95,116.7,118.62,1606340
2017-03-16,118.69,119.19,117.04,117.12,1567385
2017-03-17,117.72,118.48,117.56,118.32,2297065
2017-03-20,118.42,118.71,117.98,118.24,643427
2017-03-21,118.28,118.64,116.6,116.95,1047052
2017-03-22,116.75,117.48,116.28,117.07,1103465
2017-03-23,116.95,118.15,116.47,117.64,781115
2017-03-24,117.54,118.12,116.15,116.41,850590
2017-03-27,115.8,118.22,115.67,117.89,1309411
2017-03-28,118.56,119.4,117.74,118.78,2120546
2017-03-29,118.69,119.61,118.29,118.38,1305952
2017-03-30,118.12,119.6,118.04,118.6,1732350
2017-03-31,118.23,119.47,118.09,118.6,1470195
2017-04-03,118.75,119.25,117.11,118.0,1825477
2017-04-04,118.46,119.58,118.07,119.27,1006437
2017-04-05,120.0,120.0,117.9,118.13,1440011
2017-04-06,118.38,119.75,118.2,119.37,1238563
2017-04-07,119.15,119.5,118.46,118.85,1076549
2017-04-10,118.67,119.93,118.0,119.57,686466
2017-04-11,119.23,119.54,118.64,119.18,1019353
2017-04-12,118.69,119.28,118.05,118.23,903957
2017-04-13,118.01,118.82,117.4,117.47,818591
2017-04-17,117.76,118.84,117.43,118.05,660859
2017-04-18,118.05,118.71,117.61,118.32,1498319
2017-04-19,119.2,119.4,117.85,118.16,1120849
2017-04-20,118.73,120.05,118.31,119.73,1034674
2017-04-21,119.71,120.07,119.07,119.58,853898
2017-04-24,121.44,123.12,121.1,123.01,1896746
2017-04-25,123.54,124.75,123.15,124.7,1672914
2017-04-26,124.52,125.91,124.1,125.11,1535994
2017-04-27,123.2,125.97,120.02,125.48,1653704
2017-04-28,125.12,125.67,124.11,124.98,1521078
2017-05-01,125.39,125.5,124.51,124.96,939305
2017-05-02,125.44,125.62,124.51,125.57,1291885
2017-05-03,125.38,125.86,125.04,125.53,1000231
2017-05-04,125.79,126.36,125.43,126.32,1459661
2017-05-05,126.62,129.53,126.33,129.48,2035533
2017-05-08,128.39,129.29,128.32,129.09,1005462
2017-05-09,129.11,129.43,128.52,128.62,861972
2017-05-10,128.57,129.21,128.2,129.17,830402
2017-05-11,128.99,129.34,128.0,129.09,898520
2017-05-12,128.69,129.96,128.63,129.72,1110759
2017-05-15,129.96,130.44,129.44,130.17,2034660
2017-05-16,130.32,131.74,130.32,131.03,1765511
2017-05-17,130.33,130.87,128.81,128.82,1341594
2017-05-18,124.46,128.6,122.9,128.37,2094565
2017-05-19,128.77,129.59,128.4,129.23,1081574
2017-05-22,129.95,130.2,129.21,129.82,689042
2017-05-23,130.15,130.48,129.33,129.97,801055
2017-05-24,130.02,133.68,129.41,132.27,2263111
2017-05-25,133.13,133.2,131.63,131.93,1323937
2017-05-26,131.84,132.22,131.39,131.97,957150
2017-05-30,131.64,131.65,130.99,131.59,1721635
2017-05-31,131.68,132.38,131.26,132.29,1020141
2017-06-01,132.5,138.69,132.09,134.09,2287464
2017-06-02,134.57,137.86,134.16,136.62,2349255
2017-06-05,136.0,136.41,133.22,133.42,1766744
2017-06-06,132.8,134.15,132.43,133.29,1082844
2017-06-07,134.56,135.2,132.69,133.08,1729238
2017-06-08,132.64,133.32,131.77,132.98,1549749
2017-06-09,133.56,136.23,133.54,136.19,1837333
2017-06-12,136.25,137.0,134.71,134.97,1388466
2017-06-13,134.8,136.41,134.76,136.28,1013342
2017-06-14,136.27,136.46,134.76,135.19,871054
2017-06-15,134.11,135.13,133.78,134.86,1176763
2017-06-16,135.34,136.02,134.63,136.0,1816928
2017-06-19,136.5,136.96,136.02,136.46,1263245
2017-06-20,135.89,136.51,134.57,134.76,1461157
2017-06-21,135.1,135.27,132.78,132.86,1059891
2017-06-22,132.86,133.4,132.29,132.47,1975192
2017-06-23,132.49,133.81,132.29,132.8,1878832
2017-06-26,133.15,133.19,132.22,132.88,768655
2017-06-27,133.31,133.31,132.03,132.23,833787
2017-06-28,133.31,134.11,132.66,133.64,1133365
2017-06-29,133.75,133.8,131.1,131.67,978318
2017-06-30,131.94,133.2,131.34,132.55,1502279
2017-07-03,132.29,134.82,132.29,134.18,903016
2017-07-05,134.22,134.54,132.19,132.66,1072421
2017-07-06,132.45,133.3,132.33,132.43,1598871
2017-07-07,132.53,133.27,131.82,133.06,1187717
2017-07-10,132.65,134.09,132.49,133.34,737667
2017-07-11,133.29,133.5,132.43,132.96,657014
2017-07-12,134.39,134.48,133.65,133.82,1252696
2017-07-13,133.78,134.21,133.29,133.58,871139
