Date,Open,High,Low,Close,Volume
2017-01-03,121.86,122.0,118.96,119.62,5123752
2017-01-04,119.0,119.74,118.18,119.48,3780783
2017-01-05,119.34,120.2,119.1,119.7,4261070
2017-01-06,118.93,121.5,118.52,120.76,4089186
2017-01-09,120.76,121.06,120.33,120.43,3021844
2017-01-10,120.46,120.85,119.73,120.25,3108394
2017-01-11,120.93,121.5,120.62,120.88,3565185
2017-01-12,120.3,122.31,120.2,122.1,3480802
2017-01-13,122.24,122.24,121.1,121.5,2877498
2017-01-17,120.75,122.8,120.7,122.75,4077567
2017-01-18,122.81,123.0,121.8,122.71,3395003
2017-01-19,122.24,123.0,122.04,122.18,3155158
2017-01-20,122.26,122.95,122.02,122.26,4887114
2017-01-23,121.69,122.08,119.82,121.38,7022556
2017-01-24,121.97,122.06,120.52,121.05,3495211
2017-01-25,121.49,121.92,120.95,121.79,3968263
2017-01-26,121.86,122.38,121.76,121.88,2497470
2017-01-27,122.27,122.99,121.48,122.86,3592676
2017-01-30,122.81,123.21,122.3,123.02,3777994
2017-01-31,123.02,123.34,122.1,122.57,3733323
2017-02-01,121.9,122.5,121.7,122.42,3233576
2017-02-02,122.54,123.98,122.26,123.22,3236564
2017-02-03,123.31,124.51,123.28,124.24,3183438
2017-02-06,124.09,124.9,123.95,124.45,2760306
2017-02-07,124.95,125.42,124.59,124.59,2847175
2017-02-08,124.58,125.36,124.49,124.67,2835161
2017-02-09,124.47,125.0,124.36,124.48,2493605
2017-02-10,124.68,126.11,124.52,125.82,3681436
2017-02-13,126.02,126.68,125.49,125.54,2993779
2017-02-14,125.5,126.07,125.27,125.81,2663089
2017-02-15,125.66,126.79,125.45,126.48,2974932
2017-02-16,126.75,127.82,126.31,126.7,3006011
2017-02-17,126.78,127.88,126.68,127.8,3677392
2017-02-21,127.16,128.32,127.16,128.04,4495173
2017-02-22,127.52,128.11,126.4,127.85,3670720
2017-02-23,127.93,128.9,127.44,128.27,3177951
2017-02-24,128.36,128.74,127.75,128.65,3537175
2017-02-27,127.68,127.75,126.78,126.99,5184016
2017-02-28,127.08,127.93,126.58,127.65,4619284
2017-03-01,128.02,130.0,127.62,129.05,5471550
2017-03-02,129.05,129.81,128.15,128.23,6738068
2017-03-03,128.19,128.66,127.44,127.9,4071613
2017-03-06,127.9,128.34,127.4,128.03,3271529
2017-03-07,128.06,128.31,127.34,128.07,3332350
2017-03-08,128.07,128.36,127.47,128.09,3571805
2017-03-09,127.95,128.72,127.69,128.14,3266027
2017-03-10,128.56,128.59,127.72,127.98,3178943
2017-03-13,128.01,128.27,127.35,127.61,3130804
2017-03-14,127.65,128.23,127.5,127.8,2492670
2017-03-15,128.21,128.3,127.47,127.88,3529288
2017-03-16,128.3,128.9,127.93,127.98,3945669
2017-03-17,128.57,129.98,128.42,128.64,12532692
2017-03-20,128.99,129.48,128.47,128.78,3415501
2017-03-21,129.22,129.75,128.18,128.52,4062394
2017-03-22,128.58,129.15,128.41,129.1,3174246
2017-03-23,129.14,129.59,128.81,129.0,2774527
2017-03-24,129.38,129.68,129.16,129.34,3568234
2017-03-27,129.08,129.82,129.02,129.49,2540421
2017-03-28,129.46,129.77,128.94,129.45,3487426
2017-03-29,129.0,129.67,128.63,128.84,3197762
2017-03-30,128.75,129.53,128.6,129.32,2018028
2017-03-31,129.39,130.19,129.3,129.61,3041677
2017-04-03,129.5,129.71,128.86,129.61,3287117
2017-04-04,129.14,129.53,128.65,129.29,3413965
2017-04-05,129.89,131.58,129.65,130.41,4052194
2017-04-06,130.31,130.66,129.96,130.15,3857127
2017-04-07,130.02,130.4,129.62,129.96,2176598
2017-04-10,129.95,130.65,129.52,129.98,2709287
2017-04-11,130.62,131.24,129.8,131.2,3677631
2017-04-12,131.31,131.56,130.87,131.26,3195534
2017-04-13,131.0,131.14,130.57,130.76,2429242
2017-04-17,131.25,131.87,130.91,131.35,3236373
2017-04-18,132.01,132.8,131.8,132.3,3617373
2017-04-19,132.64,133.0,132.34,132.64,3132760
2017-04-20,132.65,133.44,132.64,133.27,2697250
2017-04-21,133.55,133.88,133.15,133.41,3466098
2017-04-24,134.24,134.76,133.26,134.23,5040990
2017-04-25,138.14,141.99,137.18,141.7,10893766
2017-04-26,141.7,142.0,140.34,140.84,7132234
2017-04-27,141.88,142.79,140.85,140.87,5183662
2017-04-28,140.39,140.76,139.78,139.93,4779887
2017-05-01,139.86,141.45,139.84,141.15,3747202
2017-05-02,140.98,141.81,140.72,141.23,3774136
2017-05-03,142.2,142.7,141.4,142.62,4278614
2017-05-04,142.62,143.67,142.26,143.45,4178808
2017-05-05,143.42,143.98,142.58,143.96,2452736
2017-05-08,143.93,144.5,143.66,144.24,2813463
2017-05-09,144.09,144.98,144.0,144.36,3053786
2017-05-10,143.86,144.64,143.73,144.52,2273313
2017-05-11,144.08,144.4,143.4,144.21,1941939
2017-05-12,144.5,145.5,144.46,145.36,2747921
2017-05-15,145.43,146.4,145.43,146.28,3332792
2017-05-16,146.55,147.67,146.28,147.29,3540887
2017-05-17,146.64,147.46,146.24,146.41,3875597
2017-05-18,146.41,147.24,145.81,147.01,2730870
2017-05-19,147.25,148.83,146.84,148.15,4071176
2017-05-22,148.3,148.88,147.93,148.19,3294675
2017-05-23,148.22,148.53,147.65,147.82,3262308
2017-05-24,147.94,149.99,147.0,149.5,3390450
2017-05-25,149.81,149.95,149.27,149.78,3408113
2017-05-26,149.87,150.24,149.25,149.86,3258239
2017-05-30,149.95,150.33,149.52,149.93,3113940
2017-05-31,150.12,151.14,149.6,150.89,6415744
2017-06-01,150.79,152.39,150.35,152.39,4349787
2017-06-02,152.52,153.9,152.15,153.74,4316652
2017-06-05,153.63,153.66,152.76,152.79,2633659
2017-06-06,152.37,152.59,151.21,151.23,3661935
2017-06-07,151.23,152.01,150.73,151.94,2922873
2017-06-08,152.0,152.15,151.01,151.43,3709866
2017-06-09,151.88,152.0,150.9,151.48,4143139
2017-06-12,151.0,151.08,148.04,148.47,5902610
2017-06-13,148.86,150.25,148.62,149.82,4267682
2017-06-14,150.32,151.08,149.91,150.68,2675487
2017-06-15,149.9,151.52,149.65,151.17,2517538
2017-06-16,150.98,152.89,150.92,151.99,5443905
2017-06-19,152.39,153.18,151.84,153.14,3263818
